,,,,"name","acronym","no. inscription","date de reconnaissance","contact person","address","website","phone","base country","sector","location","alis notes","nationalite","no. du moniteur","notes"
,,,"x","Project Medishare",,,,"Ellen Powers","8260 N.E., 2nd Aveunue, Miami, FL 33138","http://www.projectmedishare.org/","305.762.6448","USA","Health, Food Security, ","Thomonde, Cange, Port-au-Prince",,"USA",,"Project Medishare is dedicated to sharing its human and technical resources with its Haitian partners in the quest to achieve quality healthcare for all. This mission is accomplished through two distinct but complimentary programs which now frequently intersect, such as the Community Health Program and the surgical and medical care trips."
924,,,,"Project Medishare For Haïti","MEDISHARE","B-0415",7-May-2007,"Marie P. CHERY","9, Rue Tamarin, Thomonde",,"276-9164",,"Health ","Thomonde",,"American",,
,,,,"Promise for Haiti",,,,"admin@promiseforhaiti.org","4402 Howell Pl., Nashville, TN 37205","www.pignon-hospital.org, www.promiseforhaiti.org",,"haiti","Health, Education, Water & Sanitation","in hopital de bienfaisance de Pignon (CBP)",,,,
"x",,,"c","PSI ","PSI ",,,,"#6 Angle Des Rues Louissaint et Celie Bourdon Port-au-Prince Haiti","http://www.peacecorps.gov/ ",,,"Health "," ",,,,
962,,,,"Saint Boniface Haiti Foundation","SBHF","B-0454",8-Jan-2009,"Wilfrid CADET","28, Rue O, (Rue Y. Rimpel), Turgeau, P-au-P",,"3724-8962",,"Health ","Fonds des Blancs",,"American",,
980,,,,"Service Chrétien d'Haïti ","SCH",,4-Jan-1984,"Ernest ABRAHAM","26, Ave.Ducoste, BP.285, P-auP",,"222-3440",,"Health, Education, Economic Development","Centre                     North                        West                    South-East",,"Haitian","# 22,  19/3/84",
984,,,,"Service Oeucuménique d'Entraide ","SOE",,4-Aug-1990,"Richard BERCY","17, Rue 4, P-au-P",,"245-2242",,"Health, Education, Humanitarian Assistance","Centre                     North-West             West                   South-East",,"Haitian","# 51, 11/6/90",
991,,,,"Siloam International en Haïti ","SIH",,10-Apr-1986,"Mendelson CESAR","81, Rue Vanneau, Route de l'Aéroport",,"249-8188",,"Health, Education, Economic Development","West                         Artibonite    North'West",,"Haitian","# 71, 01/9/86",
993,,,,"Smile Of A Child","SOAC","B-0449",9-Sep-2008,"M. Reginald L. DUFF","34, Rue Carlstroem, P-au-P",,"2244-9914",,"Health ","Carrefour                 Delmas                              Port-au-Prince",,"American",,
"x",,,,"Smile Train",,,,"info@smiletrain.org","41 Madison Ave, 28th Floor, New York, NY 10010","www.smiletrain.org","877-543-7645","Haiti","Health ",,,,,
1002,,,,"Société Haitian d'Aide aux Aveugles ","SHAA",,17-Nov-1988,"Roger DORSAINVIL            Michel A. PEAN","1, 2ème Rue Jérémie, BP.555, P-au-P",,"222-8638",,"Health ","Haïti",,"Haitian","# 59, 3/8/89",
,,,"x","Société nationale de la Croix-Rouge Haitian (Haitian Red Cross)",,,,"Michaèle AMÉDÉE GÉDÉON, ","1, rue du Muguet
Route de Desprez
7
Port-Au-Prince HT 6112","http://www.ifrc.org/fr/where/country/cn7.asp?countryid=80"," 2244-9229","Haiti","Health, Humanitarian Assistance, Disaster Risk Prepairdeness","Enitre country",,,,
1017,"q",,,"Solidarité et Fraternité ","S&F",,8-Jan-1986,"Gilbert HENAF","39, Rue Solidarité, Tabarre 48",,"401-8466",,"Health, Education, Humanitarian Assistance","West",,"French","# 84, 14/10/87",
1026,,,,"Solidarité-Santé-Canada-Haïti ","SOSAKA",,26-Apr-1989,"Myrta DOMINIQUE","26, Rrue Mackandal, Delmas 19",,"246-1571",,"Health ","Centre                   Artibonite",,"Canadian-Haitian","# 60, 7/8/89",
1032,,,,"St Boniface Haiti Foundation",,,,,"400 North Main Street, Randolph Ma 02368","info@haitihealth.org","781-963-7243",,"Health ","Fonds des Blancs",,,,"Provides health care to the poor in the rural area of Fond Des Blancs through Saint Boniface Hospital, and improves the quality of life in the Haitian rural region of Fond des Blancs. "
1051,,,,"Union d'Entraide Humanitaire ","UEH",,9-Sep-1985,"Josette Barosi JEAN","37C, Rue Alix Roy,  P-au-P",,,,"Health, Education, Humanitarian Assistance","Arcahaie",,"Haitian","# 82, 25/10/85",
1075,,,,"Village d'Enfants SOS d'Haïti ","VESH",,4-Jan-1984,"Norbert J. BERN,                    Jn. Claude DESMANGLES","Petite Place Cazeau, Santo 19, BP.966, P-au- P, BP.310, Cap-Haïtien",,"222-5134",,"Health, Education, Humanitarian Assistance","North                         West",,"Haitian","# 22, 19/3/84",
,,,"lo","Volontariat pour le Developpement d'Haiti","VDH",,,"Arnoux Descardes, Executive Director","4, rue Gawout, Paco, Potoprens, Ayiti","www.vdhhaiti.org"," 22 45 05 03","Haiti","Health, Education, Children & Youth","Geographic Department 9 (anwotan Nip)",,"Haiti",,
1096,,,,"World Relief Corporation","WRC","B-0430",5-Dec-2007,"Jean Hubert Kelly MORQUETTE","61, Ave Martin Luther King, P-au-P",,"2245-2725",,"Health ","Delmas                      Christ-Roi                 Nazon                         Bas-Fonds Philomène",,"American",,
,,,"x","World Vision International ","WVI",,,"1. Wesley Charles, Director (3558-6382/  home:2249-4805/ off:2257-7845/ 3513-7580);
2. Lionel Isaac, MYAP Agriculture Manager (3913-5135); 3554-2539
3. Lesly Michaud, MCH Manager (3550-3267)
4. Pierre Jean Louis, Commodities Assistant
5. Cedrelle Jean-Louis, Finance and Administrative Director : (3 445-5267)
6. Josette Cesar (3456-3020)
7- Murielle Noziere, Secrétaire. 3438-0986
8. Elvire Douglas, Responsible of Disaster
9. Paul Thomas Chief of Party PEPFAR
10. Paul Emile  César  Program Officer 3448-3296
11. Ronald Saint-Louis 3438-0986   
12. Angélique Dorvil   3462-6490   Secrétaire de Direction 
13. Zenabua  W. Woldemariam 3418-0984
","9, Impasse Hardy Juvénat
Route du Canapé Vert
B.P. 13401
Bureau Postal de Delmas","haiti@wvi.org  
wesley_charles@wvi.org

LionelIsaac@wvi.org
Lesly_michaud@wvi.org
Pierre_jean_louis@wvi.org
Cedrelle_jean_louis@wvi.org




Paul-emile_cesar@wvi.org
Ronald_st-louis@wvi.org

Zenabua_woldemariam@wvi.org

","2510-959",,"Health, Education, Humanitarian Assistance","East                        Centre",,"American",,
1103,,,,"Zanmi Lasanté","ZL","B-0212",29-Dec-1995,"Rév. Père Fritz LAFONTANT","6, Ruelle Mayard, Christ-Roi, Bourdon, P-au-P, Haïti                cex@pih.org",,"246-3314",,"Health ","Plateau Central (cange)",,"Haitian","# 20, 11/3/96",
,,,"lo"," Association des Personnes Infectes et Affectées par le VIH/SIDA","APIA-V/S",,,"Joel Sinton, apialavie@yahoo.fr","#26B Rue Pompée Thor 65 Carrefour Haïti (WI)",,"3709-6181","Haiti","HIV/AIDS ","Carrefour",,"USA",,
274,,,,"Clinton HIV/AIDS Initiative ","CHAI",,,,"383 Dorchester Ave Suite 400 Boston, MA 02127","www.clintonfoundation.org",,,"HIV/AIDS ",,"Just beginning to work in Haiti","US",,
504,"q",,,"Foundation Esther Boucicault Stanislas","FEBS",,,,"24, Rue Bonnet
St. Marc, Haiti",,"279-9144","Haiti ","HIV/AIDS ",,,,,
"x",,,,"Foundation Promoters of the goal No-Aids","POZ",,,"Danielle Ried Penette, ED, pozsida@starband.net","22, Rue  Carlstrom, PAP, HAITI",,"245-2308","Haiti","HIV/AIDS, Health, ",,,,,
916,,,,"Programme Commun des Nations Unies Contre le VIH/SIDA","ONUSIDA",,,,"387, avenue John Brown, Bouirdon Port-au-Prince","www.unaids.org","2513-7717",,"HIV/AIDS ",,,,,
,,,,"Willam J. Clinton Foundation",,,,,"55 West 125th Street, New York, NY 10027","www.clintonfoundation.org","212-348-5684",,"HIV/AIDS, Environment, Economic Development",,,,,
,,,"x","Habitat for humanity Haiti ","HFH",,,"info@habitathaiti.org","1, Rue Reimbold Bourdon, Port-au-Prince, Haiti","http://www.habitat.org/intl/lac/89.aspx",,"USA","Housing, Disaster Risk Preparedness, ",,,"USA",,"Habitat for Humanity Haiti works in partnership with God and people from all walks of life, to develop communities with people of low income by building and renovating houses, so that each person has adequate housing in their community, living and growing in all that God proposes.In Haiti, HFH served 136 new families this year and since the program began has constructed/rehabilitated a total of 1,167 homes. "
572,"q",,,"Habitat Pour l'Humanité, Inc ","HFU",,26-Sep-1984,"Arthur ALLEN RUSSEL          Chantal Hudicourt EWALD","BP.277, P-au-P",,,,"Housing ","Croix-des-Bouquets",,"American","# 3,   10/01/85",
,,,"x","Haven Partnership",,,,"Mr. Leslie Buckley, info@havenpartnership.com","The Malthouse, South Block, Grand canal Quay, Dublin 2","www.havenpartnership.com","353 1 433","Ireland","Housing ",,,"Irish",,"Haven is dedicated to building homes and hope for the impoverished people of Haiti. We believe that every single person has the right to a safe, secure place to call home. Every child has the right to grow up with a proper roof over their head and a warm, dry place to sleep at night. The home is the foundation of the family and we want to help the people of Haiti achieve the basic human right of adequate shelter. In 2009, Haven expects to construct 125 new homes and rehabilitate 250 existing homes. "
701,,,,"Love A Child Inc ","LACI",,23-Apr-1987,"Sherry BURNETTE / Wilson BARTHELMY","1000, Route de la Montagne Noire, BP.15600, P-V",,"257-6532",,"Housing, Education, Health","West:                           Port-au-Prince    Fond-Parisien",,"American ","# 64,  6/8/87  ",
1068,,,,"Urbanisation et Aide Technique Expérimentale","URBATEX","B-0360",13-Oct-2004,"Adrienne Myriam ANTOINE","3, Rue Kawas, Delmas 33",,"249-0119",,"Housing, Humanitarian Assistance, Women's Programs","Arrondissement de la Croix-des-Bouquets",,"Haitian",,
"x",,,," INSTITUT CULTUREL KARL LEVEQUE","ICKL","-",,,,,,,"Human Rights, Advocacy & Policy, ",,,,,
26,,,"t","AFAGM        ","AFAGM        ",,,"Odéus Nalda","Gros-Morne",,"380-2245",,"Human Rights ",,,,,
29,,,"t","AFPROG","AFPROG",,,"Jean Beauplan Eliette","Gonaïves",,"371-3512",,"Human Rights ",,,,,
38,,,"t","AGREDAH","AGREDAH",,,"Adler Jean Gilles ","Gonaïves",,"377-9230",,"Human Rights ",,,,,
71,,,"t","Asile Saint-François (Centre d’acceuil pour les enfants handicaps)",,,,"Soeur Flora","Ile à Vache",,"3758-7647",,"Human Rights ",,,,,
72,,,"t","ASPROMATH/ ODEVFEM ","ASPROMATH/ ODEVFEM ",,,"Jasmin P. Remski",,"peckyto@yahoo.fr","3432-4580",,"Human Rights, Education, ",,,,,
82,,,"t","Association des étudiants Ecole de Droit de Ouanaminthe (la SDH y donne des  cours)","AEED",,,"Angrand  Paul Garry",,,"392-0099",,"Human Rights ",,,,,
83,,,"t","Association des femmes de Ouanaminthe","AFO",,,"Mompremier  Nerline",,,"370-9225",,"Human Rights ",,,,,
84,,,"t","Association des femmes juristes du Nord-est – Membre de la Synergie des Droits de l’Homme, dont fait partie la SDH","AFJ",,,"Francois  Julienne",,,"34663228",,"Human Rights ",,,,,
85,,,"t","Association des Femmes Juristes Haïtiennes","AFJH",,,"Elie Jacqueline",,"afjh2007@yahoo.fr","427-5772",,"Human Rights ",,,,,
86,,,"t","Association des Hommes dévoués du Sud-est","AHDESE",,,"Tranquille Jules","Jacmel",,"384-3303",,"Human Rights ",,,,,
88,,,"t","Association des journalistes du NE",,,,"Jean-Pierre Mislair",,,"373-2685",,"Human Rights ",,,,,
89,,,"t","Association des Juristes de la GA","AJGA",,,"René Saint-Louis",,,"370-3733",,"Human Rights ",,,,,
93,,,"t","Association des Universitaires Motivés pour une Haïti de Droit","AUMOHD",,,"Mathieu Jean Pelou",,"kedjelo99@yahoo.fr","3703-7426",,"Human Rights ",,,,,
159,,,,"Broederlijk Delen",,,,,"Rue des Tanneurs 165, 1000 Bruxelles, BELGIUM
","www.broederlijkdelen.be","32 2.502","Belgium","Human Rights ",,,,,
160,,,"t","Bureau Assistance Légal de l’Association de promotion de la justice dans le Sud",,,,"Me. Pierre Ezéchiel Vaval ","Les Cayes",,"3487-6157",,"Human Rights ",,,,,
161,,,,"Bureau d'Assistance Juridique ","BAJ","B-0196","23 Août 1995","Pierre C. LABISSIERE","8, Rue Montalais, P-au-P, Haïti",,"223-9971",,"Human Rights ","Port-au-Prince et les autres localités",,"Haitian",,
193,,,"t","Centre d’Action Démocratie ","CAD",,,"Romulus  Jules",," cadht6220@yahoo.fr","3722-7197",,"Human Rights ",,,,,
227,,,"t","Centre des enfants handicapés","PAZAPA",,,"Forgeas Jean Joseph","Jacmel",,"730-4858",,"Human Rights ",,,,,
"x",,,"c","Centre Écuménique des Droits Humains","CEDH ",,,,"Rue des Marguerites Port-au-Prince Haiti","http://www.forumcitoyen.org.ht/ ",,,"Human Rights "," ",,,,
238,,,"t","Centre Jeannot Succès","CJS",,,"André Pierre","Anses A Pitres",,,,"Human Rights ",,,,,
241,,,,"CENTRE OECUMÉNIQUE HAITIEN D’INTERVENTION EN MILIEUX RURAL ET URBAIN","COHIMRU",,,"Christian Aid local partner",,,,,"Human Rights ",,,,,
244,,,"t","Centre pour la Culture et le Développement de Carice – la SDH a déjà utilisé plusieurs fois sa radio communautaire + partenaire très prometteur dans le cadre du nouveau programme MPP ","SKDK",,,"Philidor Arnold",,,"373-7753",,"Human Rights ",,,,,
253,,,"t","CESMH","CESMH",,,"Dometrius  Smith",,,"3659-5605",,"Human Rights ",,,,,
255,,,"t","CHCV","CHCV",,,"Etienne Maccius","Gonaïves",,"377-1885",,"Human Rights ",,,,,
279,,,,"Coalition Haitienne pour la défense des droits de l'enfant","COHADDE",,,"Emmanuel Lacroix","23, 3eme Avenue du travail Port au Prince Haitit",,"245-5014",,"Human Rights ",,,,,
"x",,,"c","Coalition Nationale pour les Droits des Haïtiens","CNDH ",,,"pierreesperance@hotmail.com ","9 Rue Riviere Port-au-Prince Haiti ","http://www.nchr.org/ ",,,"Human Rights "," ",,,,
282,,"?","t","Collectif","Collectif",,,"Charles Fédony","Jacmel","fedonycharles@yahoo.fr","348-0936",,"Human Rights ",,,,,
285,,,"t","Collectif des Notables de Cité Soleil","CONOCS",,,"Joseph Jean Enock",," jjenock@yahoo.fr","739-8400",,"Human Rights ",,,,,
287,,,"t","Collectif nord pour une nouvelle Haiti","CONNHA  ",,,"Jean Anouse",,,"3620-5640",,"Human Rights ",,,,,
288,,,"t","Collège Saint Eugène de Mazenod (la SDH y donne des cours)",,,,"Rév. Père Piquion",,,"373-4712",,"Human Rights ",,,,,
289,,,"t","Combite de Résistance pour la Défense des Droits de la Femme ","COFADH",,,"Bonhomme Rolande",,"Cofadh2003@yahoo.fr","3714-6278",,"Human Rights ",,,,,
290,,,"t","Combite Nationale pour le Développement Communautaire ","CONADEC",,,"Atus Denor",,,"3869-3045",,"Human Rights ",,,,,
297,,,"t","Comité des Avocats pour le Respect des Libertés Individuelles","CARLI",,,"Hédouville Renan",," carlihotline@yahoo.fr","551-5151",,"Human Rights ",,,,,
303,,,"t","Comité provisoire de la société civile de FL – partenaire dans le passé – en ce moment, non fonctionnel ",,,,"Robert  Jacques",,,"370-5984",,"Human Rights ",,,,,
"x",,,"c","Commission Episcopale Nationale Justice et Paix","JILAP ",,,"jilap.national@forumcitoyen.org.ht ","angle des rues Lamarre et Piquant Port-au-Prince Haiti","http://www.delhti.ec.europa.eu/ ","2222-7899",,"Human Rights "," ",,,,
316,,,"t","CONNHA / LHODH","CONNHA / LHODH",,,"Dorvil Wesly",,,"3431-6220",,"Human Rights ",,,,,
320,,,"t","Conseil national des droits Humains","CNDH",,,"Joissaint Ericarme","Jacmel",,"731-6432",,"Human Rights ",,,,,
326,,,"t","Coopérative des petits planteurs du NE – prometteur dans le cadre du nouveau programme MPP","CPPNE",,,"Wasembeek Antoine",,,"371-1781",,"Human Rights ",,,,,
331,,,"t","Coordination des femmes du Nord est ","KOFANE",,,"Jean Josenie",,,"346-0285",,"Human Rights ",,,,,
332,,,"t","Coordination des organisations de Capotille – prometteur pour le nouveau programme MPP","KODEK",,,"Maglois Pierre ",,,"375-7589",,"Human Rights ",,,,,
337,"q",,"t","COSPHOVIGNO","COSPHOVIGNO",,,"Delinois Jean Rubin Michel",,,"3731-4325",,"Human Rights, Education, Economic Development",,,,,
350,,,"t","Des enfants de Jacmel",,,,,,,"288-3673",,"Human Rights ",,,,,
362,,,"t","Directeur de FAES",,,,"Cadet Esdras",,,"370-3046",,"Human Rights ",,,,,
366,,,"t","Ecole de Droit de FL",,,,"Calixte Nyll",,,"372-4034",,"Human Rights ",,,,,
389,,,"t","Fan m Deside","Fan Deside",,,"Marie Ange Noel","Jacmel",,,,"Human Rights ",,,,,
390,,,"t","Fanm Deside","FD",,,"Chéry Marie Lise",,,"3749-5341",,"Human Rights ",,,,,
391,,,"t","Fanm Fo","FF",,,"Joseph Josie",,,"3625-2526",,"Human Rights ",,,,,
392,,,"t","Fanm Sipo","FS",,,"Fortuné Mi Lourdes",,,"378-5288",,"Human Rights ",,,,,
393,,,"t","Fanm travayè","FT",,,"Numa Maculanie",,,"373-3038",,"Human Rights ",,,,,
394,,,"t","Fanm Vanyan St Philomène Baden Powell",,,,"Marlène Garçon ",,,"3773-5088",,"Human Rights ",,,,,
395,,,"t","Fann Vain","Fann Vain",,,"Wilyse Antoine",,,"3657-2137",,"Human Rights ",,,,,
398,,,"t","Fédération des Femmes du Bas-Artibonite(FEFBA)        ",,,,"Bien-Aimé Gerda","Saint-Marc",,"379-6580",,"Human Rights ",,,,,
399,,,"t","Fédération des organisations de développement de FL – prometteur dans le cadre du nouveau programme MPP","FODCOF",,,"Michel  Judson",,,"371-5708",,"Human Rights ",,,,,
403,,,"t","Fédération Nationale des Techniciens en Education et en Culture ","FENATEC",,,"Alexandre Milaine",,"Mihasen_2005@yahoo.fr","3795-0743",,"Human Rights ",,,,,
410,,,"t","Fondasyon tèt Kole","Tet Kole",,,"Jean Julien Verbo","Jacmel",,,,"Human Rights ",,,,,
448,,,"t","Fondation Jeunesse d’Haïti","FOJHA",,,"Dormevil Ricardo",," fojha2007@yahoo.fr ","497-0115",,"Human Rights ",,,,,
452,,,,"Fondation Martin Luther King ","FOMALUK","B-0352",15-Apr-2004,"Past. Siméon EGLOIRE"," 23, Rue Sambourg, Delmas 27",,"555-2922",,"Human Rights ","Gros-Morne",,"Haitian",,
"x",,,"c","Fondation Trente Septembre ",,,,,,,"2246-3227",,"Human Rights "," ",,,,
513,,,"t","Foyer des enfants de la Providence (Orphelinat)",,,,"Mme Michelle Thomas","rue Médard, Simon, Les Cayes",,"3864-4385",,"Human Rights ",,,,,
521,,,"t","Front des Jeunes Patriotes   Frond des Jeunes Patriotes  Dévoués en Action ","FROJEPDEA",,,"Cossy Sadrack",,"frojepdea@yahoo.fr","3480-2050",,"Human Rights ",,,,,
563,,,"t","Groupement Fanm pou development Charié",,,,"Velia Démétrius",,,"3430-2568",,"Human Rights ",,,,,
565,,,"t","Grupe Fanm Soley ",,,,"Eliana Valcourt",,,"3830-3121",,"Human Rights ",,,,,
"x",,,,"HAITI SOLIDARITE INTERNATIONALE","HSI","-",,,,,,,"Human Rights, Advocacy & Policy, ",,,,,
578,"q",,"t","Haïti Solidarité Internationale","HSI",,,"Lherisson Jean",,"jeanlher@mac.com","465-0455",,"Human Rights ",,,,,
609,,,"t","Idejen",,,,"Jean Philippe Dieukifait","Gonaïves",,"349-2612",,"Human Rights ",,,,,
611,,,"t","INAGRID-CPMG","INAGRID-CPMG",,,"Depeine F. Cheyner",,,"38257643/",,"Human Rights ",,,,,
613,,,"t","Initiative départementale contre la traite et le trafic des enfants","IDETTE",,,"Mme Dilna Lagrenade",,,"361-2576",,"Human Rights ",,,,,
619,,,"t","Institut de Recherche et de Défense  des Droits Humains","IREDH",,,"Louis Moise",," iredh2@yahoo.fr","461- 4627",,"Human Rights ",,,,,
,,,"x","Institute for Justice and Democracy in Haiti",,,,"Brian Concannon, Jr. Esq., info@ijdh.org","P.O. Box 745, Joseph, OR, 97846","http://www.ijdh.org/","541-432-0597","USA","Human Rights, Advocacy & Policy, ",,,"USA",,"With its sister organization in Haiti, the Bureau des Avocats Internationaux, the Institute for Justice and Democracy in Haiti prosecutes human rights violations in Haiti.  They have pioneered an approach that combines traditional legal strategies with empowerment of victims’ organizations and political advocacy. They help victims engage judicial and government authorities through media advocacy, writing letters, meetings with officials and even organizing demonstrations. They advocate beyond the confines of their cases in support of the rule of law in Haiti. "
